,Simulated Returns
0,-1.0000002916332138
1,383051064.5948642
2,-0.9999999999999868
3,-0.9999981712034097
4,-0.999999999996193
5,-1111325.458158151
6,-1.0000006000101564
7,32804.703971405754
8,-1.0000000001827989
9,-21926.977377250383
10,-1.0013966600701616
11,-1.0005737315654697
12,-0.9999999999845236
13,-1.0000000000000053
14,-0.9999999999999901
15,-0.9999999998172672
16,-1.0000000060350411
17,-1.000000265785513
18,16.688962871342294
19,-0.986100597454158
20,-0.9940606786750934
21,-0.9999999995272064
22,-1.0179980448975297
23,-1.0000000000838363
24,142103.98569083953
25,-1.0000004606094888
26,-2278.2454943469165
27,-1.0000000000380753
28,-1.000736540620968
29,-1.0000000586999607
30,-1.0000000013380592
31,-88.47826370024059
32,-0.9999999999999524
33,-0.999999971904844
34,-0.9999999999999999
35,9.347737995200498
36,-0.9999999990662926
37,-3.398497176981202
38,103989624.1585987
39,42.74662968215671
40,-0.9994859880772008
41,-1.0009440019546603
42,-4.241435113963813
43,-0.9996522930230718
44,21056.872439223105
45,1.2509714733847042
46,-0.9725091310792527
47,-0.9641134025542433
48,-0.9999178676089931
49,-4.18541028724328
50,-1.000000000000017
51,-23375.915493959823
52,-0.7930792119991549
53,-15.92233631749229
54,-1.132613013348426
55,-322.76510654237137
56,-0.9999990885023923
57,-1.000000017635612
58,-1.0000000260047004
59,-1.0000073874820241
60,-0.6991578596962689
61,0.6547263376507448
62,0.8174708730158633
63,-3092868593885.4604
64,1385520974.7167828
65,-3451252805.976567
66,28784.037217431072
67,-558.7022431844695
68,1482197.4888374666
69,-0.44834279143739875
70,-962.7075687985881
71,-0.7645666486846743
72,-0.9999999939996627
73,-0.9996928537943772
74,-8.305768902576027
75,-48.53490354863164
76,-0.9538897410783204
77,-0.9999999963940093
78,-1.0
79,-1.0115313033383933
80,-1.0255280981252948
81,-1.0000997793471469
82,-0.9999999101306208
83,-1.000001514807301
84,11.418494368883694
85,-110310.09469894698
86,71.81927069196641
87,-0.9991637307489323
88,-273.50103439358196
89,-3800190.883277288
90,-0.99982228684564
91,-1.0
92,-7.863822668252662
93,-222.49037216753572
94,10.670291636523695
95,-1.000000123726043
96,-1.0436639803681156
97,-1.000272772815916
98,-0.9988493666967744
99,-0.9999931944735172
100,-0.9999988046707671
101,1040665975017495.1
102,-0.9999999998599696
103,-1.000004975687648
104,-1.0000003704334537
105,-0.9821259308050676
106,-12.817106773789284
107,-0.9999999999877345
108,-1.5341334900448138
109,-4016.706606318657
110,-1.0000000000327947
111,-0.9999993983597513
112,-1.0000000000030118
113,157.63315211240726
114,-0.9999997515806162
115,-5.901108959112397
116,-1.0860037869384815
117,-0.9999366221276681
118,-1.0000000011578767
119,-0.9999999999630877
120,-0.9999999999998479
121,-0.9999436508460385
122,-0.9999999999999999
123,-479866.42415309965
124,-35745.67285398859
125,-0.13200219369558486
126,29617144.59668977
127,24644941813.568653
128,6950.872472928103
129,-1.0012706691209403
130,-1.0000020401041054
131,-1.0000000662980482
132,250.3275167417976
133,-0.8993144628385049
134,-0.9999999999915185
135,-0.9999999932494616
136,-1.0000000000027194
137,11996776.404252237
138,168.06980792596715
139,39589.82090956596
140,-0.999999995582318
141,-0.9999999998612576
142,-0.999832116012981
143,-0.7851410813476954
144,-1.0000000001223623
145,-1.0027902488912366
146,705986.7136888179
147,-21614862.03930492
148,-0.9999999999953904
149,-0.9575460830394822
150,-1.000000214865847
151,66.2339578475239
152,164661768.51592392
153,-1.0000059692364829
154,-0.9999505576774447
155,5995545.5838393755
156,250134615.14451692
157,-1.0000003598493765
158,-0.9999990466884578
159,-0.9999608939975669
160,-0.9999999980712392
161,-0.9999994073098948
162,-0.9999999357964593
163,-1.1749464706177233
164,-1.0199593009696728
165,-1.0000030743840769
166,-0.9864403232387391
167,-1.0001723207371225
168,-0.999999945561319
169,111.13375573052289
170,25.298679796784654
171,-0.9999999935871688
172,-0.9999961491923653
173,147.20864475500267
174,-0.9999999999709598
175,-1.0000000450601774
176,8.639865685742182
177,-0.9999982929374748
178,3588127.3424697253
179,-0.99999995179163
180,-0.9999811985519339
181,823046.2213913754
182,-0.9999999995986081
183,-22566.154878871974
184,1.1551795260441344
185,-1.0003774134424523
186,-13700.538666848332
187,2637552.0881899293
188,-0.9999931829868904
189,-353.12471097373844
190,-1.0000000006304994
191,-447719.52158343693
192,-1.0000003191667377
193,2.372278469509373
194,798214.6643487196
195,-0.7182195728739684
196,-119.49592016031843
197,-0.9997590308516457
198,-0.9999998571722819
199,-1.0076093301926967
200,6.66321563223552
201,-1.0000000000000717
202,6016.800646461365
203,-1.0000000078425186
204,-0.9999998520465742
205,-0.99999999999194
206,-0.8765976213762605
207,-1.000000000003089
208,-67579.40641612271
209,-0.9999999999997591
210,-1.0000000000206497
211,82142.24283042485
212,6.173847671816513
213,-0.9999999930294788
214,16.200758292570345
215,-947125.1951851457
216,-1.0055826245453228
217,-0.9999999999999508
218,-49.991545842703
219,-1.0000086561096018
220,148.30512280481582
221,-2706931690011.492
222,-1.0004835917873693
223,-0.9685296114320403
224,14.985243152200743
225,-1.072654655708421
226,-0.9994622626315959
227,-0.9997558495353149
228,-1.000000184333807
229,-33.602374033536435
230,-0.9999999938801355
231,266449.06448365614
232,202.8181219243427
233,-4.468089282940944
234,-17195.179348780493
235,-2.8218658321649075
236,-1.0000028514531432
237,-0.9999402966431407
238,-1.0000027105509688
239,-0.8380704869368871
240,-1.000000000173184
241,-1.326044919908244
242,-1.0017568056380044
243,-1.000000131833481
244,-0.9977394694179269
245,-0.9999999560994807
246,-1.0000000537135765
247,-13039907.48300184
248,-2190185881.87799
249,81.06004022933247
250,41.00046830352403
251,-0.8714553548372369
252,-0.99998172863164
253,-0.9999991360483257
254,-1.0377667678666016
255,-1.0000000000014186
256,-33.20787397614004
257,-0.9999364568177377
258,-1.0655392777916441
259,-1.0000000000008613
260,-0.9999994694275798
261,564022.0199976251
262,-0.9999999999533369
263,-4446168.74129999
264,-12.350706822203957
265,-0.9999723324263641
266,-0.9999999810133785
267,-1.0000016509267022
268,-0.999848121149454
269,-1.0000000000070832
270,-1.0004396415309762
271,-1.0021307661212524
272,-19.672969466518293
273,-0.9999999999999674
274,-1.0000676885450446
275,-929372.8377253818
276,-1551122381.154862
277,-2975692.8350658943
278,-0.9725681830896638
279,-0.9999999893927076
280,-43.1939236425842
281,159561248.9956295
282,25.036937994109635
283,-5916.734743442405
284,13.565076296007573
285,115.09305726191292
286,-1.000000000002669
287,-1.0000010680845974
288,1773492.6320916533
289,26770.37443035912
290,-1.0
291,0.3611629909464984
292,-1.0068666887478213
293,-0.999771442846101
294,-5656.610380980505
295,-0.9986110558968833
296,-0.9998920225072268
297,-543.1736230789464
298,-1.0000000398667774
299,-1.0000052458055928
300,-0.9998891591295109
301,-449.54384764627184
302,1497407296488.231
303,-1.0020212868425185
304,4496.433432904819
305,-1.3107226985721705
306,-0.26820234723617586
307,-1.0000000000001268
308,-0.9999999741577423
309,-2.6769603163485964
310,-1.0065732840071973
311,-18127.346261052957
312,-23614913282.847607
313,-1.0000008905163642
314,-1.0010058408586138
315,-1.0008081759071124
316,-1.000004054613445
317,-1.0000179034493681
318,539.6216539457724
319,-0.9999999168787471
320,-1.0000000000696412
321,-1.014541579404231
322,2268934349.563524
323,-1.0000570440391543
324,-0.9570326084899751
325,-0.6382099630337714
326,494.492329776109
327,-213531723.2902912
328,-0.9999999995093128
329,-0.9982332361418483
330,-0.9999999991448545
331,11696303.800236871
332,-1.0098028398823813
333,-0.9999997711347457
334,-0.9998559247631226
335,-0.9369343999695627
336,1.3869958583151618
337,-1.0000000007634289
338,749801.8576055313
339,-1.0509977117503857
340,-1.0000001099206848
341,-58.994587445211984
342,-1.0000018035955003
343,-1.0000002482046872
344,436062.2766147243
345,104457.49670685672
346,-0.9996432983198972
347,-1.0000000873580792
348,-1.00000013676773
349,-1.8092580983982782
350,-0.9979917831132499
351,-1.0001578974503005
352,287838889.0549392
353,269.31081205932685
354,-1.1026559713459936
355,-1.0
356,106.01961988412502
357,25270.06474745736
358,-1.0000056429614352
359,-0.9898538438054268
360,62962.846557160585
361,-1.0000064932484298
362,-223.13651725278072
363,-0.9999746580341932
364,30.59293851283659
365,-0.9985899347808498
366,-0.9997268244292146
367,202069.04346302018
368,-1.00000000104285
369,-0.9999999897129828
370,2708804.2785994005
371,-0.08334038341302341
372,-1.0000000036396581
373,37.31344963310844
374,-1.000000217785613
375,1442432.6317272454
376,-1.0000000040279187
377,-0.9999923028878549
378,-0.9999997758975878
379,-0.997345878290238
380,-1.0000015284705628
381,-1.1933839452351391
382,11138.52014785379
383,-30629632.690823603
384,-1.007502177370098
385,-39084.68183859742
386,0.7051373997598727
387,-1.000000040808767
388,-1.0000000000000036
389,-1.0000000045040143
390,-1.0000006827897168
391,-1.0000000006381844
392,-1.0032034574743591
393,-0.9999985024594256
394,-1.0000682962351621
395,518423.2155980064
396,784.1908527312297
397,-359.82625925427146
398,-1.0000319151753339
399,-1.130883570277469
400,-54.11936348089707
401,-0.9963062565583656
402,-0.9999878940216529
403,-0.9999999736286833
404,-0.9998689865516525
405,-0.9999999999999185
406,-0.9999860741716519
407,27055995.27599344
408,-9.10723976887861
409,-0.9999999996012289
410,181.0116687977415
411,1307.3174949727609
412,-1.0000000000018654
413,-1.000004033359551
414,-1.0000001954562892
415,133.7394197196473
416,1283382.3639060056
417,-1.1840597136592494
418,-0.9991276506463572
419,-160442.03853324245
420,10.106063545335857
421,-1.0283454497337852
422,-1.2149215648567246
423,-1.000017178236683
424,-4.5650790436102895
425,-1.0000099265255042
426,-4371.363395897796
427,-10410485.681514153
428,-604576.1288996242
429,73.31498255664405
430,-0.9999999999999999
431,-0.9998604114893767
432,-3553.9729864541287
433,-1.0000000003031095
434,-1.0904744663078902
435,-1.000000000055929
436,-438112.7251007595
437,-0.9999973953220943
438,-0.9999999999986433
439,-0.9999999999999993
440,-1.0000000053028366
441,-0.9999993529721286
442,-0.21822409481254668
443,-47.735356682513554
444,-1.092329543087332
445,-0.9999909470457801
446,-1.0007979888353422
447,-0.999999999999909
448,-1.0000000224003158
449,568.9607832251934
450,-0.9887384643805985
451,-0.9999997323952755
452,-1.0
453,-0.9858479350399671
454,-70290976.79332069
455,123673.52617645035
456,-1.0215815089860858
457,-0.9334803711458018
458,-1.0000000000070906
459,-0.9999997473370454
460,-1.0000000238613822
461,-0.9999993451427084
462,-479.6262515162988
463,-1.0000000186909668
464,-6674692.056635775
465,2419715.5915162098
466,-0.2932097078369995
467,-1.0000000163362819
468,-0.9875993367269034
469,-1.0000000043291217
470,787.9785492198944
471,-1.9003731063023332
472,-0.9897411133139984
473,180.94207339907703
474,-1.0000056463359075
475,217.70968111329586
476,196.04508308972189
477,-0.9974751155134687
478,-1.000000105799248
479,3947556.948664913
480,-1.0000000004482577
481,-1.0002267724045515
482,-1.0128478582648182
483,-0.9821544033189662
484,-0.9980547531845123
485,1161.6359764128306
486,-32177747.20367427
487,-1.0000000000027836
488,-8.884399334938005
489,-0.999999864033857
490,-0.9999999995307918
491,-1.0089620386463882
492,-1.0186424159273029
493,6.533231126192777
494,-9.834154167410698
495,-0.9997219029252444
496,-136629540.16841468
497,-1.0000005515238537
498,-1.0000000000000016
499,-6043.207278374113
500,4461187.22164651
501,-422886955.0887605
502,40938.18699022766
503,-0.9999999968655762
504,-10.295481519781886
505,-0.9996032584249602
506,-0.9999989587222382
507,16183472266.798172
508,-1.0000000047561077
509,-1.0005068064413218
510,-0.5881144776070342
511,-8350922.542875829
512,-0.9851145122828476
513,16.16064556709923
514,30.84808784449428
515,-25312260.38434539
516,51.23324251251033
517,-1.0000000923841517
518,-3.2024072271935338
519,4931.493994798875
520,-0.9999999872722709
521,-3.46140699199534
522,44445.48365482806
523,-1.0068167394467404
524,-100.79278106298631
525,-0.7292910703027797
526,-1.000000259047954
527,-1.0000000000108331
528,-1.0042979140520543
